,year,data
1,1980,10.9659118
2,1981,7.259173105
3,1982,15.30756686
4,1983,16.5324866
5,1984,16.01273317
6,1985,11.26952111
7,1986,10.64854041
8,1987,10.01073846
9,1988,10.36775146
10,1989,7.220455677
11,1990,11.69245463
12,1991,12.34636816
13,1992,19.09232722
14,1993,19.6144546
15,1994,9.398287456
16,1995,10.64669668
17,1996,6.41670104
18,1997,11.47370412
19,1998,15.14532083
20,1999,12.01554558
21,2000,13.68379776
22,2001,12.67971768
23,2002,10.38387978
24,2003,13.47524836
25,2004,14.09918314
26,2005,13.87053677
27,2006,12.1829069
28,2007,13.19923519
29,2008,13.96081619
30,2009,11.14505675
31,2010,14.49956611
32,2011,11.32225197
33,2012,11.22086921
34,2013,12.8139439
35,2014,13.52078077
